"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","avg_cases_per_week_14","population","avg_cases_population_ratio_per_week_14","covid19_percentage_label"
"LFJE","Altiport de La Motte Chalancon","small_airport","44.4958","5.40285","FR","FRA","France","Europe","46.227638","2.213749","2513861.4285714286","67564251.0","3.720697545468873","3.72%"
"LFKF","Figari Sud-Corse Airport","medium_airport","41.500599","9.09778","FR","FRA","France","Europe","46.227638","2.213749","2513861.4285714286","67564251.0","3.720697545468873","3.72%"
"LIRU","Urbe Airport","medium_airport","41.9519","12.4989","IT","ITA","Italy","Europe","41.87194","12.56738","1917915.5","60461828.0","3.172109682161777","3.17%"
"LKMB","Mladá Boleslav Airport","small_airport","50.3983","14.8983","CZ","CZE","Czech Republic","Europe","49.817492","15.472962","785416.3571428572","10708982.0","7.3341831851324155","7.33%"
"LS76","Hickham Field","small_airport","30.46269989013672","-90.17009735107422","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"LZLU","Lučenec Airport","small_airport","48.33940124511719","19.73579978942871","SK","SVK","Slovakia","Europe","48.669026","19.699024","184311.14285714287","5459643.0","3.3758826878816595","3.38%"
"MA72","Tuckernuck Airport","small_airport","41.29750061035156","-70.2603988647461","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"MO86","Sanctuary Airport","small_airport","38.95970153808594","-91.30390167236328","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"NC67","Six Oaks Airport","small_airport","35.467778","-82.4525","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"NTGC","Tikehau Airport","medium_airport","-15.119600296020508","-148.2310028076172","PF","PYF","French Polynesia","Oceania","-17.679742","-149.406843","0.0","280904.0","0.0","0.00%"
"OA10","Bernie's Airport","small_airport","39.00859832763672","-83.9092025756836","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"OG02","Rieben Airport","small_airport","45.61029815673828","-123.08000183105469","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"RJBK","Kohnan Airport","small_airport","34.590801","133.932999","JP","JPN","Japan","Asia","36.204824","138.252924","249655.64285714287","126476458.0","0.19739297479151643","0.20%"
"RJTA","JMSDF Atsugi Air Base / Naval Air Facility Atsugi","medium_airport","35.454601","139.449997","JP","JPN","Japan","Asia","36.204824","138.252924","249655.64285714287","126476458.0","0.19739297479151643","0.20%"
"RJTJ","Iruma Air Base","medium_airport","35.8419","139.410995","JP","JPN","Japan","Asia","36.204824","138.252924","249655.64285714287","126476458.0","0.19739297479151643","0.20%"
"RKTU","Cheongju International Airport/Cheongju Air Base (K-59/G-513)","large_airport","36.717008","127.498741","KR","KOR","South Korea","Asia","35.907757","127.766922","59100.71428571428","51269183.0","0.11527531906586905","0.12%"
"SC52","Oakview Airport","small_airport","34.81230163574219","-82.81880187988281","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"SSZT","Fazenda São João Airport","small_airport","-22.794166564941406","-49.34111022949219","BR","BRA","Brazil","South America","-14.235004","-51.92528","6638797.714285715","212559409.0","3.123266923594859","3.12%"
"UWPS","Saransk Airport","medium_airport","54.12512969970703","45.212257385253906","RU","RUS","Russia","Asia","61.52401","105.318756","2283469.785714286","145934460.0","1.564722811674697","1.56%"
"XS40","Jay Kay Ranch Airport","small_airport","28.80030059814453","-99.00029754638672","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"YBWW","Brisbane West Wellcamp Airport","medium_airport","-27.558332","151.793335","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"YBYL","Baryulgil Airstrip","small_airport","-29.21829","152.61611","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"00IL","Hammer Airport","small_airport","41.97840118408203","-89.5604019165039","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"11VG","Devil's Reach Landing Airport","small_airport","38.20940017700195","-77.00060272216797","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"1ID4","Red Baron Airpark","small_airport","43.3105555556","-115.9025","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"1NC1","Ron's Ultralight Field","small_airport","35.8119010925293","-79.23860168457031","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"28AZ","Sampley's Airport","small_airport","33.922798156738","-113.18099975586","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"2AZ1","Indian Hills Airpark","small_airport","33.760346","-113.614748","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"41NC","Sloop Airport","small_airport","35.52180099487305","-80.52200317382812","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"4PN0","Flying M Ranch Airport","small_airport","41.216400146484375","-80.09369659423828","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"4VG2","Cool Water Airport","small_airport","37.858056","-77.547222","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"55NY","Ridgeview Airport","small_airport","42.082000732421875","-79.31230163574219","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"6FD2","Big Oaks Ranch Airport","small_airport","28.666900634765625","-81.08450317382812","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"82OR","Lost Creek Airport","small_airport","43.89929962158203","-122.81700134277344","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
