"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2019-04-02","3","RJ85","LFPG","EIDW","2"
"2019-04-02","3","A20N","EKCH","EDDF","1"
"2019-04-02","3","","EGJJ","EGNV","1"
"2019-04-02","3","A320","EHAM","LOWW","2"
"2019-04-02","3","A333","LFPG","LTBW","2"
"2019-04-02","3","B752","KCVG","CYMX","1"
"2019-04-02","3","B77L","OTHH","EDDF","1"
"2019-04-02","3","B77W","EDDF","VTBS","1"
"2019-04-02","3","A320","OTHH","LOWW","1"
"2019-04-02","3","A20N","LIMC","LPPT","1"
"2019-04-02","3","","EDDF","EHAM","1"
"2019-04-02","3","C68A","EDDB","EGLF","1"
"2019-04-02","3","","ETNL","EFTU","1"
"2019-04-02","3","A319","EGGW","LIRF","1"
"2019-04-02","3","A332","OMDB","RKSI","1"
"2019-04-02","3","B772","EHAM","WMKK","1"
"2019-04-02","3","A320","EGKK","EDDB","1"
"2019-04-02","3","E190","LIRF","LSGG","1"
"2019-04-02","3","B762","LIME","EDDK","1"
"2019-04-02","3","A320","LPAR","UUDD","1"
"2019-04-02","3","","EDDK","EGNX","1"
"2019-04-03","4","E75L","CYVR","KSEA","1"
"2019-04-03","4","B772","KJFK","EHAM","1"
"2019-04-03","4","","KSFO","EGKK","1"
"2019-04-03","4","A320","OERK","OMSJ","3"
"2019-04-03","4","B77W","YSSY","KHHR","1"
"2019-04-03","4","A306","CYMX","KIND","1"
"2019-04-03","4","A321","EPWA","EGGW","3"
"2019-04-03","4","A320","EFHK","EDDL","2"
"2019-04-03","4","B738","EKCH","EGSS","3"
"2019-04-03","4","E55P","EDFM","EGSS","1"
"2019-04-03","4","A321","EDDF","EGLL","3"
"2019-04-03","4","B738","EHRD","LEAL","1"
"2019-04-03","4","B738","OMDB","UKBB","2"
"2019-04-03","4","A319","EGCC","BIKF","1"
"2019-04-03","4","E195","LIPZ","LOWW","3"
"2019-04-03","4","A388","RKSI","KLAX","3"
"2019-04-03","4","A320","ULLI","LIRF","2"
"2019-04-03","4","","LILG","LHBP","1"
"2019-04-03","4","B772","OPKC","EGLL","1"
"2019-04-03","4","B737","EHAM","LFFI","1"
"2019-04-03","4","B772","EHAM","KHHR","1"
"2019-04-03","4","B77W","EGLL","WIBT","1"
"2019-04-03","4","A320","LFQQ","LSGG","1"
"2019-04-03","4","PC12","ESSB","LKMH","1"
"2019-04-03","4","A320","OERK","OMDB","3"
"2019-04-03","4","","EDDF","KEWR","1"
"2019-04-03","4","A332","RJTT","KSEA","1"
"2019-04-03","4","B738","LKPR","UUWW","1"
"2019-04-03","4","","EKCH","EDDL","2"
"2019-04-03","4","BE20","LKPR","LZIB","1"
"2019-04-03","4","A319","EHAM","LSGG","1"
"2019-04-03","4","A319","EDDM","LDSR","1"
"2019-04-03","4","B738","LFMU","EGSS","1"
"2019-04-03","4","","LSZH","LFPG","3"
"2019-04-03","4","B737","KPHX","CEF4","1"
"2019-04-03","4","B744","ETAR","OTBH","1"
"2019-04-03","4","C56X","LEBL","ETSI","1"
